raw_line,name_cn,name_en,aliases
- **中英文通用名**: 吡氟酰草胺 (Pyrasulfotole)，别名：无,吡氟酰草胺,Pyrasulfotole,
- **中英文通用名**: 吡草酮 (Pyrasulfotole)，别名：无,吡草酮,Pyrasulfotole,
- **中英文通用名**: 吡草醚 (Pyrasulfotole)，别名：无,吡草醚,Pyrasulfotole,
- **中英文通用名**: 吡虫啉 (Imidacloprid)，常见别名：蚜灭多、益达胺,吡虫啉,Imidacloprid,蚜灭多、益达胺
- **中英文通用名**: 吡蚜酮 (Pymetrozine)，别名：阿克泰 (Actara),吡蚜酮,Pymetrozine,阿克泰 (Actara)
- **中英文通用名**: 吡螨胺 (Pymetrozine)，别名：阿波罗、阿波罗螨净,吡螨胺,Pymetrozine,阿波罗、阿波罗螨净
"**中英文通用名**: 吲哚丁酸 (Indole-3-butyric acid, IBA)",吲哚丁酸,Indole-3-butyric acid,IBA
- **中英文通用名**: 呃哚磺菌胺 (Etridiazole)，别名：乙基磺菌胺,呃哚磺菌胺,Etridiazole,乙基磺菌胺
"- **中英文通用名**: 呋喃磺草酮 (Furilazole)，别名：Monocarbazon, MON 13900",呋喃磺草酮,Furilazole,Monocarbazon、MON 13900
- **中英文通用名**: 呋喃虫酰肼 (Fufenozide)，别名：虫酰肼,呋喃虫酰肼,Fufenozide,虫酰肼
- **中英文通用名**: 呋草酮 (Furilazole)，别名：哌草磷,呋草酮,Furilazole,哌草磷
- **中英文通用名**: 呋虫胺 (Dinotefuran)，别名：尼诺特福兰 (Nitenpyram),呋虫胺,Dinotefuran,尼诺特福兰 (Nitenpyram)
- **中英文通用名**: 味吡菌胺 (Wetpyrimidin),味吡菌胺,Wetpyrimidin,
- **中英文通用名**: 味喃解草唑 (Fenoxaprop-p-ethyl)，别名：禾草灵,味喃解草唑,Fenoxaprop-p-ethyl,禾草灵
- **中英文通用名**: 味线威 (Methomyl)，别名：灭多威,味线威,Methomyl,灭多威
- **中英文通用名**: 味虫胺 (Thiamethoxam)，别名：安打、阿克泰,味虫胺,Thiamethoxam,安打、阿克泰
- **中英文通用名**: 味酰胺 (Fluazaindolizine)，别名：氟唑菌酰胺,味酰胺,Fluazaindolizine,氟唑菌酰胺
"- **中英文通用名**: 呼草磷 (Chloramben), 别名：百草枯、克芜踪",呼草磷,Chloramben,百草枯、克芜踪
- **中英文通用名**: 咪唑乙烟酸 (Imazethapyr)，别名：咪唑烟酸,咪唑乙烟酸,Imazethapyr,咪唑烟酸
- **中英文通用名**: 咪唑喹啉酸 (Imaziquin),咪唑喹啉酸,Imaziquin,
**中英文通用名**: 咪唑嗪 (Imazalil)，别名：咪鲜胺、三唑咪,咪唑嗪,Imazalil,咪鲜胺、三唑咪
- **中英文通用名**: 咪唑烟酸 (Imazethapyr)，别名：广灭灵,咪唑烟酸,Imazethapyr,广灭灵
- **中英文通用名**: 咪草酸甲酯 (Methyl isoxabenate)；别名：异噁草酯,咪草酸甲酯,Methyl isoxabenate,异噁草酯
- **中英文通用名**: 咪菌威 (Myclobutanil)，常见别名：霉能灵,咪菌威,Myclobutanil,霉能灵
- **中英文通用名**: 咪鲜胺 (Myclobutanil)，别名：美克、霉克,咪鲜胺,Myclobutanil,美克、霉克
- **中英文通用名**: 咪鲜胺铜盐 (Copper Salt of Imazalil)；常见别名：铜盐咪鲜胺,咪鲜胺铜盐,Copper Salt of Imazalil,铜盐咪鲜胺
- **中英文通用名**: 咪鲜胺锰盐 (Mancozeb),咪鲜胺锰盐,Mancozeb,
- **中英文通用名**: 咯喹酮 (Gosquinone)，别名：无,咯喹酮,Gosquinone,
- **中英文通用名**: 咯菌腈 (Fludioxonil)，别名：氟啶菌脂、氟啶胺,咯菌腈,Fludioxonil,氟啶菌脂、氟啶胺
- **中英文通用名**: 品螨灵 / Pyrimidifen；常见别名：螨危,品螨灵,Pyrimidifen,螨危
- **中英文通用名**: 哆嗪硫磷 (Diazinon)，别名：灭蚜磷、巴沙,哆嗪硫磷,Diazinon,灭蚜磷、巴沙
- **中英文通用名**: 哌虫啶 (Pymetrozine)，别名：阿克泰 (Actara)、拜耳20076 (Bayer 20076),哌虫啶,Pymetrozine,阿克泰 (Actara)、拜耳20076 (Bayer 20076)
- **中英文通用名**: 哒嗪硫磷 (Diazinon)，别名：灭蚜磷、巴沙,哒嗪硫磷,Diazinon,灭蚜磷、巴沙
- **中英文通用名**: 哒螨灵 (Dipterex)，别名：哒螨酮、哒螨净,哒螨灵,Dipterex,哒螨酮、哒螨净
- **中英文通用名**: 唑吡嘧磺隆 (Zopyrim-sulfuron)，别名：无,唑吡嘧磺隆,Zopyrim-sulfuron,
- **中英文通用名**: 唑啉草酯 (Pinoxaden)，别名：无,唑啉草酯,Pinoxaden,
- **中英文通用名**: 唑嘧磺草胺 (Zoxysulfuron)，别名：唑嘧磺隆,唑嘧磺草胺,Zoxysulfuron,唑嘧磺隆
- **中英文通用名**: 唑嘧菌胺 (Zoxamide)，别名：安泰生,唑嘧菌胺,Zoxamide,安泰生
- **中英文通用名**: 唑胺菌酯 (Zoxamide)，别名：安灭达 (Amistar),唑胺菌酯,Zoxamide,安灭达 (Amistar)
- **中英文通用名**: 唑草胺 (Zoxamide)，别名：安泰克 (Amistar),唑草胺,Zoxamide,安泰克 (Amistar)
- **中英文通用名**: 唑草酮 (Flumiclorac-pentyl)；别名：氟草酮,唑草酮,Flumiclorac-pentyl,氟草酮
- **中英文通用名**: 唑菌酯 (Zoxamide)，别名：安泰生,唑菌酯,Zoxamide,安泰生
- **中英文通用名**: 唑虫酰胺 (Tolfenpyrad)，别名：氟虫酰胺,唑虫酰胺,Tolfenpyrad,氟虫酰胺
- **中英文通用名**: 唑蚜威 (Pymetrozine)，别名：蚜灭净,唑蚜威,Pymetrozine,蚜灭净
- **中英文通用名**: 唑螨酯 (Acynonapyr)，别名：阿克诺纳吡尔,唑螨酯,Acynonapyr,阿克诺纳吡尔
- **中英文通用名**: 啶嘧磺隆 (Pyrimisulfan)，别名：无,啶嘧磺隆,Pyrimisulfan,
- **中英文通用名**: 啶氧菌酯 (Picoxystrobin)，常见别名：百泰、安泰生,啶氧菌酯,Picoxystrobin,百泰、安泰生
- **中英文通用名**: 啶磺草胺 (Dinoterb)；别名：丁噻隆,啶磺草胺,Dinoterb,丁噻隆
- **中英文通用名**: 啶菌噁唑 (Diniconazole)，别名：速保利、菌立灭,啶菌噁唑,Diniconazole,速保利、菌立灭
- **中英文通用名**: 啶虫脒 (Acetamiprid)，别名：阿克泰,啶虫脒,Acetamiprid,阿克泰
- **中英文通用名**: 啶酰菌胺 (Fludioxonil)，别名：氟啶菌酰胺,啶酰菌胺,Fludioxonil,氟啶菌酰胺
- **中英文通用名**: 喷嘧磺隆 (Pendimethalin)，别名：普杀特、Pendulum,喷嘧磺隆,Pendimethalin,普杀特、Pendulum
**中英文通用名**: 喹吡唑虫胺 (Quinpyrazole Insecticide),喹吡唑虫胺,Quinpyrazole Insecticide,
- **中英文通用名**: 喹啉铜 (Quinoline Copper)，别名：喹啉铜盐、喹啉铜络合物,喹啉铜,Quinoline Copper,喹啉铜盐、喹啉铜络合物
- **中英文通用名**: 喹氧菌酯 (Quinoxyfen)，别名：喹氧菌酯,喹氧菌酯,Quinoxyfen,
- **中英文通用名**: 喹硫磷 (Quinalphos)，别名：喹硫磷、喹硫磷乳油,喹硫磷,Quinalphos,喹硫磷乳油
- **中英文通用名**: 喹磺草胺 (Quinclorac)，别名：氯磺草胺,喹磺草胺,Quinclorac,氯磺草胺
- **中英文通用名**: 喹禾灵 (Quinclorac)，别名：氯喹啉酸,喹禾灵,Quinclorac,氯喹啉酸
- **中英文通用名**: 喹禾糠酯 (Quinclorac)，别名：稻草隆,喹禾糠酯,Quinclorac,稻草隆
- **中英文通用名**: 喹草硫醚 (Quinclorac)，别名：氯喹啉草酯,喹草硫醚,Quinclorac,氯喹啉草酯
- **中英文通用名**: 喹草酮 (Quinclorac)，别名：氯喹啉酸,喹草酮,Quinclorac,氯喹啉酸
- **中英文通用名**: 喹草酸 (Quinclorac)，别名：氯喹酸,喹草酸,Quinclorac,氯喹酸
- **中英文通用名**: 喹虫脒 (Quinomethionate)，别名：无,喹虫脒,Quinomethionate,
- **中英文通用名**: 喹螨醚 (Quinomethionate)，别名：螨危,喹螨醚,Quinomethionate,螨危
- **中英文通用名**: 嗅唑菌酮 (Oxathiapiprolin)，别名：氟唑菌酮,嗅唑菌酮,Oxathiapiprolin,氟唑菌酮
- **中英文通用名**: 嗪吡嘧磺隆 (Pyrazosulfuron-ethyl)，别名：农得时,嗪吡嘧磺隆,Pyrazosulfuron-ethyl,农得时
- **中英文通用名**: 嗪咪唑嘧磺隆 (Azimsulfuron)，别名：阿米唑磺隆,嗪咪唑嘧磺隆,Azimsulfuron,阿米唑磺隆
- **中英文通用名**: 嗪胺灵 (Azoxystrobin)，别名：阿米西达,嗪胺灵,Azoxystrobin,阿米西达
- **中英文通用名**: 嗪草酮 (Metribuzin)，别名：三嗪酮,嗪草酮,Metribuzin,三嗪酮
- **中英文通用名**: 嗪草酸甲酯 (Metsulfuron-methyl)，常见别名：甲基磺草酮,嗪草酸甲酯,Metsulfuron-methyl,甲基磺草酮
**中英文通用名**: 嗳咪唑富马酸盐 (Imazalil fumarate)，别名：咪唑菌酮富马酸盐,嗳咪唑富马酸盐,Imazalil fumarate,咪唑菌酮富马酸盐
- **中英文通用名**: 嗽草酮 (Sulcotrione)，别名：磺草酮,嗽草酮,Sulcotrione,磺草酮
- **中英文通用名**: 嗽霉灵 (Sulphur),嗽霉灵,Sulphur,
"- **中英文通用名**: 嘧啶肟草醚 (Pyrifenox), 别名：无",嘧啶肟草醚,Pyrifenox,
- **中英文通用名**: 嘧氟磺草胺 (Flumetsulam)，别名：氟磺草胺,嘧氟磺草胺,Flumetsulam,氟磺草胺
- **中英文通用名**: 嘧苯胺磺隆 (Bensulfuron-methyl)，别名：农得时,嘧苯胺磺隆,Bensulfuron-methyl,农得时
- **中英文通用名**: 嘧草醚 (Bensulfuron-methyl)，别名：苯磺隆甲酯,嘧草醚,Bensulfuron-methyl,苯磺隆甲酯
- **中英文通用名**: 嘧菌环胺 (Cyprodinil)，别名：赛普顿,嘧菌环胺,Cyprodinil,赛普顿
- **中英文通用名**: 嘧菌酯 (Azoxystrobin)，别名：阿米西达,嘧菌酯,Azoxystrobin,阿米西达
- **中英文通用名**: 嘧虫威 (Acetamiprid)，别名：阿克泰、安泰生,嘧虫威,Acetamiprid,阿克泰、安泰生
- **中英文通用名**: 嘧霉胺 (Pyrimethanil)，别名：甲基嘧菌胺,嘧霉胺,Pyrimethanil,甲基嘧菌胺
- **中英文通用名**: 噁唑菌酮 (Oxathiapiprolin)，别名：氟噻唑菌胺,噁唑菌酮,Oxathiapiprolin,氟噻唑菌胺
- **中英文通用名**: 噁唑酰草胺 (Oxaziclomefone)，别名：奥沙克隆芬,噁唑酰草胺,Oxaziclomefone,奥沙克隆芬
- **中英文通用名**: 噁嗪草酮 (Oxaziclomefone)，别名：氯氟恶草酮,噁嗪草酮,Oxaziclomefone,氯氟恶草酮
- **中英文通用名**: 噁草酮 (Oxyfluorfen)；常见别名：氟乐灵,噁草酮,Oxyfluorfen,氟乐灵
- **中英文通用名**: 噁虫威 (Oxamyl)，别名：高灭威、甲氧基氨基甲酸甲酯,噁虫威,Oxamyl,高灭威、甲氧基氨基甲酸甲酯
- **中英文通用名**: 噁虫酮 (Fipronil)，别名：锐劲特,噁虫酮,Fipronil,锐劲特
- **中英文通用名**: 噁霉灵 (Oxathiapiprolin)，别名：Oxathipro,噁霉灵,Oxathiapiprolin,Oxathipro
- **中英文通用名**: 噁霜灵 (Oxathiapiprolin)，别名：Oxathipro,噁霜灵,Oxathiapiprolin,Oxathipro
- **中英文通用名**: 噁唑隆 (Oxazolone)，别名：无,噁唑隆,Oxazolone,
- **中英文通用名**: 噬唑磷 (Azinphos-methyl)，别名：甲基嘧啶磷、Guthion,噬唑磷,Azinphos-methyl,甲基嘧啶磷、Guthion
- **中英文通用名**: 噬唑菌胺 (Picoxystrobin)，别名：百克敏、百克宁,噬唑菌胺,Picoxystrobin,百克敏、百克宁
- **中英文通用名**: 噬嗪酮 (Pymetrozine)，别名：阿克泰 (Actara)、吡虫啉 (Pyrethroid) (注意：吡虫啉是另一个不同的农药，这里仅列出常见别名),噬嗪酮,Pymetrozine,"阿克泰 (Actara)、吡虫啉 (Pyrethroid) (注意:吡虫啉是另一个不同的农药,这里仅列出常见别名)"
- **中英文通用名**: 噬枯唑 (Sikuzole)，别名：无,噬枯唑,Sikuzole,
**中英文通用名**: 噬草啶 (Sipronil)；别名：无,噬草啶,Sipronil,
- **中英文通用名**: 噬草酮 (Sethoxydim)，别名：稻草灵,噬草酮,Sethoxydim,稻草灵
**中英文通用名**: 噬菌灵 (Thiophanate-methyl)，别名：甲基硫菌灵、甲基托布津,噬菌灵,Thiophanate-methyl,甲基硫菌灵、甲基托布津
**中英文通用名**: 噬菌环胺 (Cycloheximide),噬菌环胺,Cycloheximide,
**中英文通用名**: 噬菌胺 (Sipernate)；别名：异噻菌胺 (Isotianil),噬菌胺,Sipernate,异噻菌胺 (Isotianil)
- **中英文通用名**: 噬菌酯 (Sedaxane)，别名：氟唑菌酰胺,噬菌酯,Sedaxane,氟唑菌酰胺
- **中英文通用名**: 噬虫啉 (Clothianidin)，别名：噻虫啉,噬虫啉,Clothianidin,噻虫啉
**中英文通用名**: 噬虫胺 (Spinosad)，别名：天然除虫菊素,噬虫胺,Spinosad,天然除虫菊素
- **中英文通用名**: 噬螨酮 (Pyridaben)，别名：螨危、螨死净,噬螨酮,Pyridaben,螨危、螨死净
- **中英文通用名**: 噬酰菌胺 (Sedaxane)，别名：氟唑菌胺,噬酰菌胺,Sedaxane,氟唑菌胺
**中英文通用名**: 噬霉胺 (Chromafenozide)，别名：无,噬霉胺,Chromafenozide,
- **中英文通用名**: 噬鼠酮 (Brodifacoum)，别名：溴敌隆、溴灭鼠灵,噬鼠酮,Brodifacoum,溴敌隆、溴灭鼠灵
- **中英文通用名**: 噻吩磺隆 (Thifensulfuron-methyl)，别名：阔叶净,噻吩磺隆,Thifensulfuron-methyl,阔叶净
- **中英文通用名**: 噻呋酰胺 (Tebuconazole)，常见别名：特普唑,噻呋酰胺,Tebuconazole,特普唑
- **中英文通用名**: 噻味菊酯 (Tetramethrin)，别名：四甲基菊酯,噻味菊酯,Tetramethrin,四甲基菊酯
- **中英文通用名**: 噻唑膦 (Thiodicarb)，别名：阿米卡 (Amicar),噻唑膦,Thiodicarb,阿米卡 (Amicar)
- **中英文通用名**: 噻唑锌 (Thiazole Zinc)，别名：无,噻唑锌,Thiazole Zinc,
- **中英文通用名**: 噻嗪酮 (Thiamethoxam)，常见别名：阿克泰 (Actara)、克百威 (Cruiser),噻嗪酮,Thiamethoxam,阿克泰 (Actara)、克百威 (Cruiser)
- **中英文通用名**: 噻森铜 (Thiosulfinyl copper)，别名：铜制剂,噻森铜,Thiosulfinyl copper,铜制剂
- **中英文通用名**: 噻苯胺磺隆 (Thiencarbazone-methyl)，别名：无,噻苯胺磺隆,Thiencarbazone-methyl,
- **中英文通用名**: 噻苯隆 (Thidiazuron)，别名：TDZ,噻苯隆,Thidiazuron,TDZ
**中英文通用名**: 噻草酸甲酯 (Methyl Thiobencarb)；别名：丁草胺甲酯,噻草酸甲酯,Methyl Thiobencarb,丁草胺甲酯
- **中英文通用名**: 噻菌灵 (Thiophanate-methyl)，别名：甲基托布津,噻菌灵,Thiophanate-methyl,甲基托布津
"- **中英文通用名**: 噻菌铜 (Thiodiazole-copper), 别名：噻枯唑铜、铜噻菌",噻菌铜,Thiodiazole-copper,噻枯唑铜、铜噻菌
"- **中英文通用名**: 噻虫啉 (Thiamethoxam)，别名：Actara, Cruiser, Platinum",噻虫啉,Thiamethoxam,Actara、Cruiser、Platinum
- **中英文通用名**: 噻虫嗪 (Thiamethoxam)，常见别名：阿克泰 (Actara)、克百威 (Cruiser),噻虫嗪,Thiamethoxam,阿克泰 (Actara)、克百威 (Cruiser)
"- **中英文通用名**: 噻虫胺 (Thiamethoxam)，别名：Actara, Cruiser, Platinum",噻虫胺,Thiamethoxam,Actara、Cruiser、Platinum
- **中英文通用名**: 噻螨酮 (Tetradifon)，别名：螨危,噻螨酮,Tetradifon,螨危
- **中英文通用名**: 噻酚磺隆 (Thifensulfuron-methyl)，别名：阔叶散,噻酚磺隆,Thifensulfuron-methyl,阔叶散
- **中英文通用名**: 噻酮磺隆 (Thiencarbazone-methyl)，别名：无,噻酮磺隆,Thiencarbazone-methyl,
- **中英文通用名**: 噻霉酮 (Thiophanate-methyl)，常见别名：甲基硫菌灵,噻霉酮,Thiophanate-methyl,甲基硫菌灵
"- **中英文通用名**: 四唑吡氨酯 (Tetrazolinone), 常见别名：无",四唑吡氨酯,Tetrazolinone,
- **中英文通用名**: 四唑嘧磺隆 (Tiafenacil)，别名：无,四唑嘧磺隆,Tiafenacil,
- **中英文通用名**: 四唑虫酰胺 (Tetraniliprole)，别名：四唑虫酰肼,四唑虫酰胺,Tetraniliprole,四唑虫酰肼
- **中英文通用名**: 四唑酰草胺 (Tiazafluoron)，别名：氟草定,四唑酰草胺,Tiazafluoron,氟草定
"- **中英文通用名**: 四氟丙酸 (Tetrafluoropropionic acid)，别名：2,2,3,3-四氟丙酸",四氟丙酸,Tetrafluoropropionic acid,2、3、3-四氟丙酸
- **中英文通用名**: 四氟甲醚菊酯 (Tetramethrin)，别名：四氟菊酯,四氟甲醚菊酯,Tetramethrin,四氟菊酯
- **中英文通用名**: 四氟苯菊酯 (Tetramethrin)，别名：四氟苯醚菊酯,四氟苯菊酯,Tetramethrin,四氟苯醚菊酯
- **中英文通用名**: 四氟醚唑 (Tetraconazole)，别名：四氟菌唑,四氟醚唑,Tetraconazole,四氟菌唑
- **中英文通用名**: 四氟醚菊酯 (Tetramethrin)，别名：四氟苯菊酯,四氟醚菊酯,Tetramethrin,四氟苯菊酯
- **中英文通用名**: 四氯硝基苯 / Tetrachloronitrobenzene (TCNB)，别名：四氯苦,四氯硝基苯 / Tetrachloronitrobenzene,TCNB,四氯苦
- **中英文通用名**: 四氯苯酞 (Tetrachlorophthalide)，别名：百草枯酯,四氯苯酞,Tetrachlorophthalide,百草枯酯
- **中英文通用名**: 四氯虫酰胺 (Tetrachlorantraniliprole)，别名：四氯虫酰胺,四氯虫酰胺,Tetrachlorantraniliprole,
- **中英文通用名**: 四溴菊酯 (Tetramethrin)，别名：四溴苯菊酯,四溴菊酯,Tetramethrin,四溴苯菊酯
**中英文通用名**: 四硫代过氧碳酸钠 (Sodium Tetrathiooxalate),四硫代过氧碳酸钠,Sodium Tetrathiooxalate,
- **中英文通用名**: 四聚乙醛 (Tetramethrin)，别名：四甲基乙醛、四甲基丁醛,四聚乙醛,Tetramethrin,四甲基乙醛、四甲基丁醛
- **中英文通用名**: 四螨嗪 (Tetradifon)，别名：螨危,四螨嗪,Tetradifon,螨危
- **中英文通用名**: 土菌灵 (Tujunling)，别名：多菌灵 (Carbendazim),土菌灵,Tujunling,多菌灵 (Carbendazim)
- **中英文通用名**: 地散磷 (Disulfoton)，别名：二硫代磷酸二乙酯,地散磷,Disulfoton,二硫代磷酸二乙酯
- **中英文通用名**: 坪草丹 (Pendimethalin)，别名：普杀特、Pendi,坪草丹,Pendimethalin,普杀特、Pendi
**中英文通用名**: 增效冰烯胺 (Enhanced Imidacloprid)，别名：增强型吡虫啉,增效冰烯胺,Enhanced Imidacloprid,增强型吡虫啉
"- **中英文通用名**: 增效醚 (Piperonyl butoxide, PBO)",增效醚,Piperonyl butoxide,PBO
- **中英文通用名**: 壬菌铜 (Bacillomycin D)，别名：壬基铜、壬基氧氯化铜,壬菌铜,Bacillomycin D,壬基铜、壬基氧氯化铜
"- **中英文通用名**: 复硝酚钠 (Sodium 2,4-dinitrophenolate)；别名：复硝基酚钠、DNFP",复硝酚钠,4-dinitrophenolate,Sodium 2、复硝基酚钠、DNFP
"- **中英文通用名**: 复硝酚钠 (Sodium 2,4-dinitrophenolate)；别名：复硝基酚钠",复硝酚钠,4-dinitrophenolate,Sodium 2、复硝基酚钠
- **中英文通用名**: 复硝酚钾 (Potassium Dinitrophenolate)；别名：复硝酚钠 (Potassium Dinitrophenolate),复硝酚钾,Potassium Dinitrophenolate,复硝酚钠 (Potassium Dinitrophenolate)
- **中英文通用名**: 多抗霉素 (Pyraclostrobin)，别名：百克、百克敏,多抗霉素,Pyraclostrobin,百克、百克敏
- **中英文通用名**: 多效唑 (Paclobutrazol)，常见别名：矮壮素,多效唑,Paclobutrazol,矮壮素
- **中英文通用名**: 多杀菌素 (Spinosad)，别名：斯皮诺萨德,多杀菌素,Spinosad,斯皮诺萨德
- **中英文通用名**: 多杀霉素 (Spinosad)，别名：斯皮诺萨德,多杀霉素,Spinosad,斯皮诺萨德
- **中英文通用名**: 多果定 (Difenoconazole)，别名：氟硅唑、氟环唑,多果定,Difenoconazole,氟硅唑、氟环唑
- **中英文通用名**: 多氟脲 (Diflubenzuron)，别名：保棉丹、灭幼脲,多氟脲,Diflubenzuron,保棉丹、灭幼脲
**中英文通用名**: 多粘类芽孢杆菌 (Bacillus polymyxa) / 常见别名：多粘芽孢杆菌,多粘类芽孢杆菌,Bacillus polymyxa,多粘芽孢杆菌
- **中英文通用名**: 多菌灵 (Carbendazim)，别名：苯并咪唑-2-氨基甲酸甲酯,多菌灵,Carbendazim,苯并咪唑-2-氨基甲酸甲酯
- **中英文通用名**: 威百亩 (Metam sodium)，别名：甲基异硫氰酸钠盐,威百亩,Metam sodium,甲基异硫氰酸钠盐
- **中英文通用名**: 定菌磷 (Diniconazole)，别名：菌灭灵、菌清,定菌磷,Diniconazole,菌灭灵、菌清
- **中英文通用名**: 富右旋反式炔丙菊酯 / Fenpropathrin,富右旋反式炔丙菊酯,Fenpropathrin,
"- **中英文通用名**: 富右旋反式烯丙菊酯 / Deltamethrin, 常见别名：德尔塔灭、德尔托林",富右旋反式烯丙菊酯,Deltamethrin,德尔塔灭、德尔托林
"- **中英文通用名**: 对二氯苯 (p-Dichlorobenzene, p-DCB)，常见别名有邻二氯苯、1,4-二氯苯",对二氯苯,p-Dichlorobenzene,p-DCB、邻二氯苯、1、4-二氯苯
"- **中英文通用名**: 对氯苯氧乙酸钠 (Sodium Chlorophenoxyacetate, MCPA sodium)",对氯苯氧乙酸钠,Sodium Chlorophenoxyacetate,MCPA sodium
"- **中英文通用名**: 对硫磷 (Parathion), 别名：1605、E605",对硫磷,Parathion,1605、E605
- **中英文通用名**: 小檗碱硫酸盐 (Berberine sulfate)，别名：硫酸小檗碱、硫酸氢黄连素,小檗碱硫酸盐,Berberine sulfate,硫酸小檗碱、硫酸氢黄连素
- **中英文通用名**: 己唑醇 (Hexaconazole)，别名：速保利、禾果利,己唑醇,Hexaconazole,速保利、禾果利
- **中英文通用名**: 已唑醇 (Hexaconazole)，别名：速保利、禾果利,已唑醇,Hexaconazole,速保利、禾果利
**中英文通用名**: 布氏白僵菌 (Beauveria bassiana)，别名：白僵菌,布氏白僵菌,Beauveria bassiana,白僵菌
- **中英文通用名**: 异丁乙氧喹啉 (Isobutoxyquinoline)；别名：无,异丁乙氧喹啉,Isobutoxyquinoline,
- **中英文通用名**: 异丙噻菌胺 (Iprovalicarb)，别名：无,异丙噻菌胺,Iprovalicarb,
- **中英文通用名**: 异丙威 (Isoprocarb)，别名：速灭威,异丙威,Isoprocarb,速灭威
- **中英文通用名**: 异丙甲草胺 (Metolachlor)，别名：甲氯草胺、甲氧氯草胺,异丙甲草胺,Metolachlor,甲氯草胺、甲氧氯草胺
- **中英文通用名**: 异丙甲草胺 (Pendimethalin)，别名：普杀特、除草通,异丙甲草胺,Pendimethalin,普杀特、除草通
- **中英文通用名**: 异丙草胺 (Isoproturon)，别名：异丙隆,异丙草胺,Isoproturon,异丙隆
- **中英文通用名**: 异丙菌胺 (Iprovalicarb)，别名：无,异丙菌胺,Iprovalicarb,
- **中英文通用名**: 异丙酯草醚 (Isopropylamine salt of glyphosate)，常见别名：草甘膦异丙胺盐,异丙酯草醚,Isopropylamine salt of glyphosate,草甘膦异丙胺盐
- **中英文通用名**: 异丙酯草醚 (Isopropylamine salt of glyphosate)，常见别名：草甘膦异丙胺盐,异丙酯草醚,Isopropylamine salt of glyphosate,草甘膦异丙胺盐
- **中英文通用名**: 异丙隆 (Isoproturon)，常见别名：异丙草净,异丙隆,Isoproturon,异丙草净
- **中英文通用名**: 异噁唑草酮 (Isaoxycarbazone)；别名：无,异噁唑草酮,Isaoxycarbazone,
- **中英文通用名**: 异噁草松 (Isaoxycarbazide)，别名：异噁酰草胺,异噁草松,Isaoxycarbazide,异噁酰草胺
- **中英文通用名**: 异噁草胺 (Isaoxamid)，别名：异恶草胺,异噁草胺,Isaoxamid,异恶草胺
- **中英文通用名**: 异噁隆 (Isoluxuron)，别名：异恶唑草酮,异噁隆,Isoluxuron,异恶唑草酮
- **中英文通用名**: 异噻菌胺 (Isotianil)，别名：无,异噻菌胺,Isotianil,
- **中英文通用名**: 异恶草松 (Bensulfuron-methyl)，别名：农得时,异恶草松,Bensulfuron-methyl,农得时
- **中英文通用名**: 异戊乙净 (Isoprothiolane)，别名：异丙硫菌胺,异戊乙净,Isoprothiolane,异丙硫菌胺
- **中英文通用名**: 异柳磷 (Isazofos); 常见别名：稻丰灵、稻瘟净,异柳磷,Isazofos,稻丰灵、稻瘟净
- **中英文通用名**: 异稻瘟净 (Isoprothiolane)，别名：异稻瘟灵、稻瘟净,异稻瘟净,Isoprothiolane,异稻瘟灵、稻瘟净
- **中英文通用名**: 异菌脲 (Iprodione)，别名：扑海因、扑霉灵,异菌脲,Iprodione,扑海因、扑霉灵
- **中英文通用名**: 弓哚酮草酯 (Benzoxazolinone Herbicide)，常见别名：苯并噁唑酮类除草剂,弓哚酮草酯,Benzoxazolinone Herbicide,苯并噁唑酮类除草剂
- **中英文通用名**: 弥拜菌素 (Mibaclozan)，别名：无,弥拜菌素,Mibaclozan,
- **中英文通用名**: 强固芽孢杆菌 (Bacillus firmus)，别名：坚强芽孢杆菌,强固芽孢杆菌,Bacillus firmus,坚强芽孢杆菌
- **中英文通用名**: 恶螨脲 (Tebufenozide)，别名：螨危、螨净,恶螨脲,Tebufenozide,螨危、螨净
- **中英文通用名**: 戊唑醇 (Tebuconazole)，常见别名：TBZ,戊唑醇,Tebuconazole,TBZ
- **中英文通用名**: 戊环唑 (Penthiopyrad)，常见别名：无,戊环唑,Penthiopyrad,
- **中英文通用名**: 戊苯吡菌胺 (Penthiopyrad)，别名：氟唑菌胺,戊苯吡菌胺,Penthiopyrad,氟唑菌胺
- **中英文通用名**: 戊菌唑 (Penthiopyrad)，别名：无,戊菌唑,Penthiopyrad,
- **中英文通用名**: 戊菌隆 (Pencycuron)，别名：百菌清、百得福,戊菌隆,Pencycuron,百菌清、百得福
- **中英文通用名**: 扑灭津 (Prometryn)，别名：普美林、普美特,扑灭津,Prometryn,普美林、普美特
- **中英文通用名**: 扑灭通 (Pymetrozine)，别名：安打 (Admire),扑灭通,Pymetrozine,安打 (Admire)
- **中英文通用名**: 扑草净 (Bensulide)，别名：苯磺隆,扑草净,Bensulide,苯磺隆
- **中英文通用名**: 扑草灭 (Paraquat),扑草灭,Paraquat,
- **中英文通用名**: 扑草胺 (Propanil)，别名：普拉尼尔、稻田除草剂,扑草胺,Propanil,普拉尼尔、稻田除草剂
"- **中英文通用名**: 抑芽丹 (Daminozide)，别名：B-Nine, Alar",抑芽丹,Daminozide,B-Nine、Alar
